Time 	 AccX 	 AccY 	 AccZ 	 GyroX 	 GyroY 	 GyroZ
6.737	1.07	0.73	-10.31	-0.18	0.09	0.12
6.765	1.19	0.88	-9.62	-0.11	-0.01	0.16
6.792	0.93	1.07	-9.81	0.00	0.04	0.08
6.818	1.46	1.09	-9.63	0.13	0.00	-0.17
6.846	0.92	-0.29	-9.69	-0.03	-0.04	-0.02
6.873	0.85	0.33	-9.63	-0.01	-0.06	-0.03
6.900	0.92	0.31	-9.80	0.00	0.01	-0.07
6.927	0.93	0.32	-9.88	0.06	0.00	-0.10
6.953	0.96	0.47	-9.76	0.09	-0.08	-0.02
6.984	0.91	0.61	-9.74	-0.05	-0.03	-0.03
7.011	0.96	0.47	-9.75	0.03	-0.07	0.05
7.037	0.88	0.57	-9.80	0.03	0.05	0.12
7.065	0.95	0.52	-9.75	-0.01	0.03	0.01
7.092	1.02	0.48	-9.77	0.02	-0.07	0.15
7.118	0.97	0.48	-9.79	0.06	0.00	-0.02
7.146	0.91	0.52	-9.68	-0.00	0.05	-0.09
7.173	0.93	0.43	-9.71	0.06	0.05	-0.04
7.200	1.00	0.48	-9.73	0.10	-0.06	0.07
7.227	0.85	0.53	-9.73	-0.00	0.00	0.04
7.254	0.91	0.52	-9.77	0.03	0.09	0.11
7.281	0.93	0.52	-9.82	0.02	0.02	-0.03
7.308	0.96	0.55	-9.83	0.05	-0.07	-0.07
7.337	0.99	0.48	-9.78	-0.10	0.02	0.12
7.364	0.90	0.47	-9.75	-0.06	0.09	0.11
7.392	0.93	0.52	-9.73	-0.13	-0.01	-0.05
7.418	0.92	0.54	-9.79	0.03	0.02	-0.10
7.446	0.98	0.51	-9.78	0.08	-0.07	-0.05
7.473	0.93	0.52	-9.72	0.06	0.14	0.05
7.499	0.93	0.59	-9.70	-0.06	-0.07	-0.01
7.527	0.91	0.55	-9.73	-0.06	-0.01	0.13
7.554	0.88	0.55	-9.76	0.04	0.01	0.07
7.581	0.93	0.56	-9.81	-0.03	0.00	0.00
7.608	0.93	0.56	-9.70	0.06	0.04	0.04
7.634	0.97	0.52	-9.81	0.04	-0.04	-0.18
7.662	1.02	0.51	-9.86	0.08	0.01	-0.15
7.689	0.98	0.47	-9.74	-0.02	0.10	0.11
7.718	0.86	0.53	-9.76	0.06	-0.00	-0.07
7.746	1.00	0.52	-9.78	0.01	-0.04	0.02
7.773	0.91	0.94	-9.69	0.02	0.04	-0.15
7.799	0.91	0.58	-9.66	0.03	0.02	0.09
7.827	0.93	1.76	-9.78	0.07	0.03	0.08
7.854	0.95	0.32	-9.73	-0.02	-0.05	0.07
7.880	1.03	0.80	-10.01	-0.11	0.00	-0.01
7.908	1.03	0.27	-9.78	-0.01	-0.01	0.08
7.934	1.05	0.25	-9.77	-0.04	0.04	-0.02
7.962	0.94	0.88	-9.75	0.04	-0.09	0.05
7.989	0.88	0.38	-9.74	-0.05	0.08	-0.03
8.015	0.88	0.62	-9.80	-0.00	0.01	-0.06
8.043	0.98	0.63	-9.75	0.01	0.07	0.05
8.073	0.91	0.35	-9.83	-0.07	-0.01	-0.02
8.100	0.89	0.63	-9.73	-0.06	0.04	-0.09
8.127	0.88	0.45	-9.79	0.05	-0.01	0.01
8.154	0.99	0.47	-9.85	0.07	-0.03	0.09
8.181	0.87	0.62	-9.80	-0.12	0.04	-0.01
8.208	0.93	0.42	-9.74	0.09	-0.01	0.03
8.235	0.99	0.51	-9.69	0.03	-0.04	0.11
8.276	0.98	0.51	-9.68	-0.06	-0.11	0.08
8.303	0.94	0.45	-9.91	0.07	0.07	-0.07
8.330	0.94	0.60	-9.74	-0.01	0.03	0.00
8.357	0.93	0.53	-9.76	0.03	0.02	-0.01
8.384	0.92	0.50	-9.79	0.01	-0.03	-0.06
8.412	0.85	0.52	-9.74	0.05	-0.07	-0.07
8.441	0.93	0.56	-9.79	-0.04	0.04	0.02
8.468	0.94	0.55	-9.78	-0.09	0.05	0.09
8.496	0.96	0.55	-9.81	-0.08	0.03	-0.09
8.522	0.92	0.52	-9.83	-0.04	0.04	0.03
8.549	0.90	0.40	-9.75	0.01	-0.08	-0.08
8.577	0.86	0.47	-9.83	-0.07	-0.02	0.04
8.603	0.88	0.47	-9.83	0.09	-0.06	-0.13
8.631	0.93	0.45	-9.76	0.00	0.01	0.09
8.657	0.97	0.55	-9.74	0.05	-0.04	-0.04
8.684	1.01	0.52	-9.79	0.01	0.00	-0.03
8.712	0.86	0.80	-9.80	-0.01	0.04	0.04
8.738	0.96	0.27	-9.70	-0.03	0.10	-0.07
8.766	1.03	0.86	-9.86	0.01	-0.02	0.07
8.793	0.95	0.06	-9.66	0.03	-0.08	-0.06
8.822	0.86	0.86	-9.68	0.05	0.09	0.06
8.849	0.97	0.88	-9.73	0.03	-0.05	-0.01
8.877	0.92	0.24	-9.84	0.02	0.00	-0.13
8.903	0.97	0.74	-9.75	0.06	0.08	-0.07
8.931	0.97	0.44	-9.78	-0.01	0.07	0.08
8.957	0.97	0.29	-9.75	0.05	0.03	0.01
8.984	0.95	0.69	-9.78	-0.08	-0.02	0.04
9.012	0.94	0.42	-9.69	0.05	0.08	-0.03
9.038	0.83	0.86	-9.74	-0.05	-0.10	0.03
9.066	0.83	0.37	-9.88	-0.01	0.01	-0.04
9.093	0.92	0.75	-9.86	-0.01	-0.10	0.00
9.120	1.07	0.14	-9.78	-0.06	0.05	0.15
9.147	0.90	0.40	-9.78	0.04	-0.05	0.14
9.177	0.91	0.76	-9.75	-0.05	0.04	-0.06
9.204	0.91	0.30	-9.81	0.06	-0.04	0.07
9.231	1.00	0.71	-9.73	0.04	-0.01	-0.03
9.257	0.94	0.45	-9.75	0.02	0.01	-0.02
9.285	0.97	0.40	-9.67	0.01	-0.09	-0.01
9.312	0.98	0.61	-9.80	0.05	0.03	-0.03
9.339	0.95	0.42	-9.74	0.01	-0.07	-0.02
9.366	0.97	0.41	-9.74	0.04	0.08	-0.07
9.393	0.93	0.64	-9.78	0.00	0.14	0.15
9.420	0.95	0.52	-9.78	0.03	-0.02	-0.01
9.447	1.01	0.54	-9.75	0.04	0.11	-0.03
9.475	0.89	0.40	-9.77	0.14	-0.06	-0.29
9.501	0.96	-0.31	-9.45	-0.03	0.19	-0.11
9.531	0.66	1.47	-9.81	-0.07	0.09	-0.16
9.559	0.93	0.07	-9.92	-0.09	0.13	0.06
9.585	0.90	0.41	-9.76	0.05	0.15	0.00
9.612	0.57	0.05	-10.04	-0.06	-0.01	-0.01
9.639	0.80	0.93	-9.74	0.09	-0.11	-0.07
9.666	1.02	0.32	-9.72	0.01	-0.02	0.10
9.694	1.13	1.03	-9.79	0.02	-0.04	0.09
9.720	1.06	0.71	-9.70	0.08	-0.08	-0.05
9.748	0.98	0.17	-9.86	-0.08	0.14	-0.09
9.775	0.95	0.64	-9.72	-0.07	0.02	-0.01
9.802	0.96	0.62	-9.78	0.01	0.06	0.11
9.829	0.96	0.40	-9.74	0.04	-0.06	0.04
9.856	0.98	0.61	-9.65	0.06	-0.04	-0.03
9.883	0.92	0.50	-9.75	-0.01	0.07	0.08
9.913	0.96	0.51	-9.78	0.03	0.01	-0.13
9.939	0.90	0.52	-9.76	0.05	-0.10	0.07
9.967	0.85	0.45	-9.75	-0.03	-0.09	-0.03
9.994	0.92	0.48	-9.76	0.11	0.07	0.09
10.021	0.94	0.50	-9.73	0.05	-0.06	0.11
10.048	1.05	0.52	-9.71	0.01	-0.11	-0.09
10.076	0.96	0.52	-9.72	-0.09	-0.01	-0.12
10.102	0.93	0.57	-9.82	0.00	0.18	-0.01
10.130	1.00	0.47	-9.78	-0.03	0.00	-0.05
10.157	0.97	0.58	-9.73	0.14	-0.01	-0.17
10.184	0.93	0.48	-9.70	-0.04	-0.07	0.01
10.212	0.90	0.52	-9.81	-0.05	-0.06	0.12
10.238	0.93	0.62	-9.74	0.08	0.06	-0.01
10.268	0.91	0.47	-9.79	-0.08	0.09	0.06
10.296	0.88	0.51	-9.81	-0.03	0.07	0.13
10.322	0.89	0.45	-9.75	-0.02	0.05	0.11
10.350	0.91	0.54	-9.84	-0.06	0.06	0.05
10.383	0.91	0.51	-9.78	-0.03	0.06	0.11
10.411	0.91	0.51	-9.74	0.01	-0.07	0.04
10.437	0.95	0.47	-9.83	0.14	-0.12	-0.03
10.465	0.86	0.89	-9.84	-0.09	0.07	0.03
10.491	0.91	0.70	-9.80	-0.03	0.01	-0.00
10.518	0.93	0.19	-9.83	-0.01	0.12	-0.03
10.546	0.93	0.96	-9.76	0.04	0.02	-0.07
10.572	0.98	0.34	-9.77	0.00	0.07	-0.00
10.600	1.00	0.42	-9.70	0.03	-0.07	-0.13
10.630	0.96	0.70	-9.80	0.11	-0.04	-0.09
10.657	0.93	0.34	-9.78	0.01	0.03	0.11
10.684	0.96	0.54	-9.74	0.02	-0.04	0.19
10.712	0.93	0.62	-9.79	-0.06	-0.08	-0.10
10.738	1.01	0.43	-9.78	0.07	-0.06	-0.06
10.766	0.93	0.70	-9.83	0.02	-0.05	-0.03
10.792	0.76	0.20	-9.80	-0.03	0.11	0.07
10.820	0.91	0.37	-9.81	-0.01	0.01	-0.00
10.847	0.88	0.50	-9.75	0.01	-0.05	0.13
10.874	1.02	0.29	-9.73	0.01	-0.04	0.00
10.901	0.93	0.41	-9.81	0.07	-0.03	0.01
10.928	0.91	0.54	-9.77	-0.04	0.09	-0.03
10.955	0.88	0.47	-9.75	0.07	-0.05	-0.06
10.985	0.88	0.42	-9.73	-0.11	0.04	0.04
11.013	1.03	0.50	-9.70	0.00	0.00	0.20
11.039	0.97	0.53	-9.83	0.02	-0.05	-0.06
11.067	1.04	0.80	-9.80	-0.05	0.11	0.07
11.094	1.13	0.22	-9.71	0.08	0.00	-0.10
11.120	1.01	0.68	-9.72	0.08	-0.08	-0.02
11.148	1.09	1.17	-9.73	0.09	-0.02	0.03
11.174	1.16	0.93	-9.73	0.02	0.07	-0.01
11.202	0.82	0.65	-9.80	-0.13	0.04	0.01
11.229	0.68	0.43	-9.75	0.03	0.00	0.08
11.256	0.75	0.98	-9.75	-0.04	0.02	0.01
11.283	0.84	0.54	-9.78	-0.03	0.03	0.06
